id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country
846,Elinor,Ostrom,8/7/1933,6/12/2012,USA,US,"Los Angeles, CA",USA,US,"Bloomington, IN",female,2009,economics,,2,"""for her analysis of economic governance, especially the commons""",Indiana University,"Bloomington, IN",USA
846,Elinor,Ostrom,8/7/1933,6/12/2012,USA,US,"Los Angeles, CA",USA,US,"Bloomington, IN",female,2009,economics,,2,"""for her analysis of economic governance, especially the commons""",Arizona State University,"Tempe, AZ",USA
428,Barbara,McClintock,6/16/1902,9/2/1992,USA,US,"Hartford, CT",USA,US,"Huntington, NY",female,1983,medicine,,1,"""for her discovery of mobile genetic elements""",Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",USA
413,Rosalyn,Yalow,7/19/1921,5/30/2011,USA,US,"New York, NY",USA,US,"New York, NY",female,1977,medicine,,2,"""for the development of radioimmunoassays of peptide hormones""",Veterans Administration Hospital,"Bronx, NY",USA
836,Carol W.,Greider,4/15/1961,0000-00-00,USA,US,"San Diego, CA",,,,female,2009,medicine,,3,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",Johns Hopkins University School of Medicine,"Baltimore, MD",USA
835,Elizabeth H.,Blackburn,11/26/1948,0000-00-00,Australia,AU,"Hobart, Tasmania",,,,female,2009,medicine,,3,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",University of California,"San Francisco, CA",USA
79,Maria,Goeppert Mayer,6/28/1906,2/20/1972,Germany (now Poland),PL,Kattowitz (now Katowice),USA,US,"San Diego, CA",female,1963,physics,,4,"""for their discoveries concerning nuclear shell structure""",University of California,"La Jolla, CA",USA
438,Gertrude B.,Elion,1/23/1918,2/21/1999,USA,US,"New York, NY",USA,US,"Chapel Hill, NC",female,1988,medicine,,3,"""for their discoveries of important principles for drug treatment""",Wellcome Research Laboratories,"Research Triangle Park, NC",USA
775,Linda B.,Buck,1/29/1947,0000-00-00,USA,US,"Seattle, WA",,,,female,2004,medicine,,2,"""for their discoveries of odorant receptors and the organization of the olfactory system""",Fred Hutchinson Cancer Research Center,"Seattle, WA",USA
344,Gerty Theresa,"Cori, n_e Radnitz",08/15/1896,10/26/1957,Austria-Hungary (now Czech Republic),CZ,Prague,USA,US,"St. Louis, MO",female,1947,medicine,,4,"""for their discovery of the course of the catalytic conversion of glycogen""",Washington University,"St. Louis, MO",USA
717,Robert C.,Merton,7/31/1944,0000-00-00,USA,US,"New York, NY",,,,male,1997,economics,,2,"""for a new method to determine the value of derivatives""",Harvard University,"Cambridge, MA",USA
718,Myron S.,Scholes,7/1/1941,0000-00-00,Canada,CA,"Timmins, ON",,,,male,1997,economics,,2,"""for a new method to determine the value of derivatives""",Long Term Capital Management,"Greenwich, CT",USA
727,Herbert,Kroemer,8/25/1928,0000-00-00,Germany,DE,Weimar,,,,male,2000,physics,"""for basic work on information and communication technology""",4,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",University of California,"Santa Barbara, CA",USA
154,William D.,Phillips,11/5/1948,0000-00-00,USA,US,"Wilkes-Barre, PA",,,,male,1997,physics,,3,"""for development of methods to cool and trap atoms with laser light""",National Institute of Standards and Technology,"Gaithersburg, MD",USA
152,Steven,Chu,2/28/1948,0000-00-00,USA,US,"St. Louis, MO",,,,male,1997,physics,,3,"""for development of methods to cool and trap atoms with laser light""",Stanford University,"Stanford, CA",USA
81,Charles Hard,Townes,7/28/1915,1/27/2015,USA,US,"Greenville, SC",USA,US,"Berkeley, CA",male,1964,physics,,2,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA
877,David J.,Wineland,2/24/1944,0000-00-00,USA,US,"Milwaukee, WI",,,,male,2012,physics,,2,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",National Institute of Standards and Technology,"Boulder, CO",USA
877,David J.,Wineland,2/24/1944,0000-00-00,USA,US,"Milwaukee, WI",,,,male,2012,physics,,2,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",University of Colorado,"Boulder, CO",USA
